City_ID,NAME,state,place,population_total,population_male,population_female,population_median_age,population_median_age_male,population_median_age_female,population_total_2,population_18_to_24,population_25_to_34,population_35_to_44,population_45_to_54,population_55_to_64
209,"Foothill Farms CDP, California",06,24722,37476,17991,19485,32.9,30.9,33.7,32530,1330,4668,5311,4458,4111
210,"Foster City city, California",06,25338,32530,15731,16799,40.3,37.8,43.6,56476,4598,6797,7100,8650,6514
211,"Fountain Valley city, California",06,25380,56476,29992,26484,40.6,38.4,44.5,227523,12766,33362,41953,32109,23534
212,"Fremont city, California",06,26000,227523,116772,110751,38.3,37.8,38.9,45247,3619,4904,7376,5824,3389
213,"French Valley CDP, California",06,26067,45247,23677,21570,30.6,26.8,32.3,544500,54337,85294,72749,61343,52246
214,"Fresno city, California",06,27000,544500,270529,273971,32.9,32.2,33.5,141875,14429,25407,14615,19339,17146
215,"Fullerton city, California",06,28000,141875,73222,68653,35.1,33.2,39.2,25489,2611,3731,3777,3190,2236
216,"Galt city, California",06,28112,25489,12464,13025,35.6,33.1,37.0,59714,4834,9430,7658,9378,7520
217,"Gardena city, California",06,28168,59714,28757,30957,39.2,39.7,37.8,170492,14564,23657,20468,25536,24817
218,"Garden Grove city, California",06,29000,170492,83725,86767,40.3,39.7,40.8,58101,4464,7547,7658,8047,6912
219,"Gilroy city, California",06,29504,58101,29303,28798,36.6,32.1,39.1,192376,13752,30515,28118,23140,23306
220,"Glendale city, California",06,30000,192376,93528,98848,40.0,38.4,41.2,51564,5521,6052,6586,6451,6498
221,"Glendora city, California",06,30014,51564,25282,26282,38.8,36.3,41.1,32845,3133,5907,3079,3200,6367
222,"Goleta city, California",06,30378,32845,16788,16057,38.8,37.3,41.9,19351,1578,539,1423,3213,3596
223,"Granite Bay CDP, California",06,30693,19351,10082,9269,54.5,55.1,54.1,52684,4202,5675,7099,8342,6428
224,"Hacienda Heights CDP, California",06,31596,52684,25866,26818,44.4,43.5,45.8,58496,4331,10073,7789,5343,5242
225,"Hanford city, California",06,31960,58496,29856,28640,31.6,30.6,33.3,86093,8658,17508,11264,11660,8521
226,"Hawthorne city, California",06,32548,86093,41399,44694,33.7,33.2,34.9,159839,11537,27610,23371,19204,21231
227,"Hayward city, California",06,33000,159839,82474,77365,37.8,37.1,38.6,90446,4631,12291,9419,8537,13969
228,"Hemet city, California",06,33182,90446,46449,43997,44.3,39.2,49.4,26094,2230,2960,3800,3068,4698
229,"Hercules city, California",06,33308,26094,11760,14334,48.7,48.8,48.4,100959,10536,13920,13670,12934,9518
230,"Hesperia city, California",06,33434,100959,55111,45848,32.0,30.3,35.1,57165,4920,8437,6841,7699,6527
231,"Highland city, California",06,33588,57165,27606,29559,34.2,34.5,34.0,43481,4128,6265,7001,4690,5109
232,"Hollister city, California",06,34120,43481,22115,21366,34.1,32.1,35.9,196650,13813,28660,23104,26396,31097
