City_ID,NAME,DP02_0001E,state,place,DP02_0025E
209,"West Valley City city, Utah",42003,49,83470,53316
210,"Harlingen city, Texas",27051,48,32372,26191
211,"Killeen city, Texas",57875,48,39148,53153
212,"Scranton city, Pennsylvania",30096,42,69000,30734
213,"San Juan zona urbana, Puerto Rico",,72,76770,
214,"Yakima city, Washington",37282,53,80010,36878
215,"Spring CDP, Texas",23096,48,69596,28898
216,"Norman city, Oklahoma",53446,40,52500,54177
217,"Chattanooga city, Tennessee",77299,47,14000,69832
218,"Amarillo city, Texas",82129,48,03000,73318
219,"Rapid City city, South Dakota",32471,46,52980,31838
220,"Corpus Christi city, Texas",117366,48,17000,125826
221,"Longview city, Texas",31072,48,43888,30577
222,"North Richland Hills city, Texas",26937,48,52356,29099
223,"Sugar Land city, Texas",37008,48,70808,42842
224,"Temple city, Texas",34371,48,72176,34899
225,"Toms River CDP, New Jersey",35128,34,73110,35879
226,"Trenton city, New Jersey",34116,34,74000,36198
227,"Lorain city, Ohio",27852,39,44856,25865
228,"New Rochelle city, New York",32877,36,50617,33482
