name,brewery_type,address_1,city,state_province,postal_code,longitude,latitude,state,zip_code,brewery_id,Incomplete,Population  , Population Density per km2 , Population Density per mile2 , Target population percentage  , TOTAL Brew Population Age Bracket population  ,male_brew_age,Median Income 12 mths ,Total: - white households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households:
Absolution Brewing Co,micro,2878 Columbia St,Torrance,California,90503-3808,-118.3378601,33.8431391,California,90503,199,,"45,386","3,280",1266,23%,19307,10322,52957,8183,383,711,3243
Absolution By the Sea,brewpub,7536 Fay Ave,La Jolla,California,92037-4839,-117.2740167,32.84083388,California,92037,200,,"41,260","1,202",464,17%,13510,7147,61566,13637,244,726,5604
Accomplice Beer Company,brewpub,115 W 15th St,Cheyenne,Wyoming,82001-4564,-104.819296,41.130063,Wyoming,82001,201,,"37,528",261,101,24%,15981,8980,37563,14336,654,1256,6387
Acidulous Brewing Company,contract,6712 S Independence St,Littleton,Colorado,80128-4046,-105.1059543,39.5383949,Colorado,80128,202,,"36,699","1,141",441,22%,15176,8153,50557,12901,661,1245,3533
Acopon Brewing Co,micro,211 W Mercer St,Dripping Springs,Texas,78620-5363,-98.09006208,30.19269957,Texas,78620,203,,"20,493",41,16,18%,6861,3594,45287,6032,207,441,1024
Acorn Brewing,micro,2105 Meridian Ave E,Edgewood,Washington,98371,-122.2934912,47.23859752,Washington,98371,204,,"23,965",742,286,21%,9742,5038,43627,7625,417,679,2518
Acoustic Ales Brewing Experiment,closed,1795 Hancock St Ste P1,San Diego,California,92110-2006,-117.1840465,32.74219079,California,92110,205,,"31,048","2,338",903,23%,12842,7227,41313,8869,279,795,4897
Slate Rock Brewing Company,micro,113 S Main St,Amity,Arkansas,71921-,-93.46113043,34.26406928,Arkansas,71921,6399,INCOMPLETE,,7,3,,,,,,,,
Adam's Northwest Bistro / Twin Rivers Brewing,brewpub,104 N Lewis St,Monroe,Washington,98272-1502,-121.970887,47.85588471,Washington,98272,207,,"31,127",115,44,29%,14601,8877,40277,8273,352,727,2030
Anchorage Brewing Co,micro,148 W 91st Ave,Anchorage,Alaska,99515-1901,-149.8893581,61.1385311,Alaska,99515,332,INCOMPLETE,,789,304,,,,,,,,
King Street Brewing Co,micro,9050 King Street,Anchorage,Alaska,99515,-149.879076,61.13848935,Alaska,99515,3980,INCOMPLETE,,789,304,,,,,,,,
Adirondack Toboggan Company Microbrewery,micro,202A W Main St,Gouverneur,New York,13642-1334,-75.47489238,44.33237311,New York,13642,210,,"9,397",20,8,24%,3678,2295,25901,3549,147,343,1419
AdMerk Corp. Inc.,contract,20 F St NW,Washington,District of Columbia,20001-6700,-77.0094205,38.89742205,District of Columbia,20001,211,,"49,040","8,591",3317,30%,28624,14859,72220,12469,158,212,9265
Adobe Creek Brewing Company,micro,67 Galli Dr Ste E,Novato,California,94949-5718,-122.5358157,38.07349982,California,94949,212,,"17,588",526,203,20%,5928,3506,50929,5411,143,281,2287
Aero Craft Brewing,planning,,Denver,Colorado,80212-2199,-104.984696,39.7391428,Colorado,80212,216,,"20,397","2,143",827,29%,10619,5862,58135,8391,271,454,4687
Aero Plains Brewing,micro,117 N Handley St,Wichita,Kansas,67203-6114,-97.35071131,37.68455054,Kansas,67203,217,,"30,498","1,659",640,22%,12403,6638,26472,10477,533,1118,5000
Aeronaut Brewing Company,micro,14 Tyler St,Somerville,Massachusetts,02143-3224,-71.1062676,42.3819723,Massachusetts,2143,218,,"26,022","6,315",2438,32%,15964,8395,56093,8889,85,336,5800
Aftershock Brewing Co,micro,28822 Old Town Front St Ste 107,Temecula,California,92590-2893,-117.1485306,33.49310382,California,92590,219,,"4,840",38,15,18%,1792,879,35893,1267,53,193,399
Afterthought Brewing Company,micro,844 N Ridge Ave,Lombard,Illinois,60148-1215,-88.02234574,41.90549742,Illinois,60148,220,,"52,794","1,483",572,21%,21611,11323,44913,16095,497,1583,5521
Against the Grain Brewery,micro,401 E Main St,Louisville,Kentucky,40202-1110,-85.7440377,38.2554568,Kentucky,40202,222,,"7,179","1,780",687,39%,4312,2780,15121,1049,0,29,819
Creatures Of Habit Brewing Co,planning,,Anderson,Indiana,46016-1749,-85.68095743,40.09907144,Indiana,46016,1950,INCOMPLETE,,"1,117",431,,,,,,,,
"Agrarian Ales, LLC",closed,31115 W Crossroads Ln,Eugene,Oregon,97408-9220,-123.1277712,44.18922784,Oregon,97408,225,,"14,655",112,43,17%,5108,2467,36472,5327,132,368,2082
Aigean Ales,micro,250 Commercial St Ste 2001,Manchester,New Hampshire,03101-1165,-71.46899187,42.9899594,New Hampshire,3101,227,,"3,885","1,571",607,25%,1625,970,42920,1451,13,110,1106
Aiken Brewing Co,brewpub,140 Laurens St SW,Aiken,South Carolina,29801-3848,-81.7228141,33.5603084,South Carolina,29801,228,,"27,613",126,49,19%,10680,5316,24704,6196,276,446,2829
Airline Brewing Company,micro,22 Mill Ln,Amherst,Maine,4428,-68.3677435,44.8329462,Maine,4428,229,,"3,034",23,9,26%,1323,775,33119,1185,78,126,346
Airways Brewing Co,micro,8611 S 212th St,Kent,Washington,98031-1910,-122.2391026,47.4119802,Washington,98031,230,,"43,055","2,070",799,22%,17877,9599,39972,6883,382,784,2059
Airways Brewing Co. Bistro & Beer Garden,brewpub,320 W Harrison St,Kent,Washington,98032,-122.235649,47.382498,Washington,98032,231,,"38,744",887,343,25%,17694,9712,36655,7427,245,665,3766
Redwood Curtain Brewing Co,micro,550 S G St Ste 6,Arcata,California,95521-6683,-124.0894667,40.85730505,California,95521,5799,INCOMPLETE,,142,55,,,,,,,,
Akronym Brewing LLC,micro,58 E Market St,Akron,Ohio,44308,-81.51645882,41.08512193,Ohio,44308,234,,"1,037","1,441",556,25%,339,257,8667,258,0,12,236
Alameda Brewing Co,micro,4736 SE 24th Ave,Portland,Oregon,97202-4787,-122.6412495,45.48882655,Oregon,97202,236,,"43,193","2,678",1034,26%,22407,11026,39404,15723,608,1010,7386
Alameda Brewing Co,micro,4765 NE Fremont St,Portland,Oregon,97213-1724,-122.6136209,45.54849565,Oregon,97213,237,,"31,260","3,048",1177,26%,15973,8171,46747,12424,390,803,5870
Alameda Island Brewing Company,micro,1716 Park St,Alameda,California,94501-1416,-122.2394506,37.76833631,California,94501,238,,"64,116","3,079",1189,23%,29088,14455,53969,13653,335,998,6250
Alamo Beer Co,micro,415 Burnet St,San Antonio,Texas,78202-1909,-98.4771638,29.42902321,Texas,78202,239,,"11,422","1,739",672,23%,4694,2603,23913,1916,180,358,765
Division Brewing,micro,506 E Main St,Arlington,Texas,76010-1228,-97.10256904,32.73630741,Texas,76010,2133,INCOMPLETE,,"2,518",972,,,,,,,,
Alaskan Brewing Co.,regional,5429 Shaune Dr,Juneau,Alaska,99801-9540,-134.4918763,58.35681231,Alaska,99801,242,,"30,088",5,2,23%,12786,6782,45388,8647,355,556,3783
Albia Brewing Co,brewpub,11 Benton Ave E,Albia,Iowa,52531-2032,-92.8073711,41.02718903,Iowa,52531,243,,"5,817",10,4,17%,1923,992,39176,2233,125,144,951
Albion Malleable Brewing Company,brewpub,420 S Superior St,Albion,Michigan,49224,-84.7532755,42.2423188,Michigan,49224,244,,"13,199",53,20,15%,4367,2037,21710,3351,222,505,1070
Lidl US LLC,contract,3500 S Clark St,Arlington,Virginia,22202-4045,-77.051863,38.842856,Virginia,22202,4196,INCOMPLETE,,"2,640",1019,,,,,,,,
Aldus Brewing Company,micro,555 Centennial Ave,Hanover,Pennsylvania,17331-3936,-76.98030009,39.79422185,Pennsylvania,17331,249,,"55,458",281,108,19%,20656,10404,35815,20121,1014,2207,6589
Ale Asylum,regional,2002 Pankratz St,Madison,Wisconsin,53704-4024,-89.35416285,43.12046815,Wisconsin,53704,250,,"47,066",843,326,25%,22333,11662,39701,17480,573,1241,9255
Ale House Brewing Co,micro,,San Jose,California,95118-1605,-121.8905833,37.3361905,California,95118,251,,"32,764","3,106",1199,21%,13838,7017,53929,6762,363,908,1832
Ale Industries,micro,3096 E 10th St,Oakland,California,94601-2960,-122.2281897,37.7761111,California,94601,252,,"54,166","6,390",2467,24%,24336,12994,28525,3354,338,331,1383
Ale Spike Brewery,micro,1244 N Moore Rd Unit I-1,Camano Island,Washington,98282,-122.4381311,48.25785496,Washington,98282,255,,"17,356",165,64,17%,5207,2865,42581,6737,214,452,1836
Aleman Brewing,micro,3304 N Knox Ave,Chicago,Illinois,60641-4434,-87.74301213,41.94087994,Illinois,60641,256,,"69,354","6,808",2629,24%,31702,16959,34973,16433,715,1912,6767
Alesatian Brewing Co.,brewpub,21 N Loudoun St,Winchester,Virginia,22601-4715,-78.16559208,39.18446446,Virginia,22601,258,,"29,720","1,147",443,19%,11089,5776,33166,9344,377,1182,4265
AleSmith Brewing Co,regional,9990 Alesmith Ct,San Diego,California,92126-4200,-117.1495496,32.88858458,California,92126,259,,"74,788","2,603",1005,26%,35604,19324,41818,9540,512,711,2799
Alesong Brewing and Blending,micro,1000 Conger St Ste C,Eugene,Oregon,97402-2950,-123.2384193,43.85285684,Oregon,97402,260,,"56,610",297,115,22%,23067,12469,28127,18871,779,2729,8597
Alesong Brewing and Tasting Room,micro,1000 Conger Unit C,Eugene,Oregon,97402,-123.2384193,43.85285684,Oregon,97402,261,,"56,610",297,115,22%,23067,12469,28127,18871,779,2729,8597
Alewife Brewing Company,brewpub,514 51st Ave,Long Island City,New York,11101-5879,-73.95625257,40.74232214,New York,11101,263,,"48,867","5,043",1947,22%,20608,10743,57285,7415,39,551,4281
Alibi Ale Works,micro,204 E Enterprise St,Incline Village,Nevada,89451-9456,-119.9537117,39.24819328,Nevada,89451,265,,"9,531",87,34,20%,3490,1901,60299,3612,102,166,1157
Align Brewing Co,micro,8680 Miralani Dr,San Diego,California,92126-6300,-117.137429,32.896584,California,92126,267,,"74,788","2,603",1005,26%,35604,19324,41818,9540,512,711,2799
All Rise Brewing Co,brewpub,235 N Ashland Ave,Chicago,Illinois,60607-1401,-87.6667328,41.8864021,Illinois,60607,268,,"31,816","5,005",1933,28%,16931,8971,65801,8354,305,463,5262
All-American Ale Works,micro,5120 E La Palma Ave Ste 103,Anaheim,California,92807-2082,-117.8056915,33.85925032,California,92807,270,,"37,627","1,273",492,19%,14093,7267,49333,9158,468,1084,2372
Allagash Brewing Co,regional,50 Industrial Way,Portland,Maine,04103-1270,-70.3179518,43.7030951,Maine,4103,271,,"31,185","1,208",466,22%,13567,6854,41575,11742,431,898,5551
Allegheny City Brewing,micro,507 Foreland St,Pittsburgh,Pennsylvania,15212-4910,-80.00061073,40.45424933,Pennsylvania,15212,272,,"27,016","1,896",732,26%,13184,7042,34055,9634,308,869,5723
Allegory Brewing,micro,777 NE 4th St,McMinnville,Oregon,97128-4502,-123.1917806,45.21081917,Oregon,97128,273,,"38,394",133,51,18%,13269,6982,32204,12179,333,1857,4560
Lost Rhino Brewing Co,micro,21730 Red Rum Dr Ste 142,Ashburn,Virginia,20147-5870,-77.47673436,39.01564409,Virginia,20147,4342,INCOMPLETE,,"1,283",495,,,,,,,,
Alliance Brewing Company,micro,1130 Sevier Ave,Knoxville,Tennessee,37920,-83.9035469,35.9593516,Tennessee,37920,275,,"41,210",223,86,19%,15990,7997,27633,15413,736,1500,6704
Alligator Brewing / Tall Paul's Brewhouse,micro,10 SE 2nd Ave,Gainesville,Florida,32601-6232,-82.3222523,29.6502615,Florida,32601,276,,"22,039","1,802",696,19%,7252,4215,16030,5896,294,252,4556
Alloy Brewing Company,micro,2700 Coon Rapids Blvd NW,Coon Rapids,Minnesota,55433-3955,-93.33543497,45.16953614,Minnesota,55433,277,,"34,618","1,136",439,21%,14169,7220,38976,11879,639,1271,4846
Alltech's Lexington Brewing,regional,475 Angliana Ave,Lexington,Kentucky,40508-3134,-84.51599645,38.04950651,Kentucky,40508,278,,"25,586","2,403",928,14%,7216,3611,12618,6151,118,417,4585
Alluvial Brewing Company,micro,3715 W 190th St,Ames,Iowa,50014-9316,-93.6370387,41.5831617,Iowa,50014,279,,"31,587",219,85,15%,8400,4850,20227,9919,195,234,6223
Alma Brewing Co,brewpub,208 E Superior St,Alma,Michigan,48801-1819,-84.6588719,43.37888808,Michigan,48801,280,,"13,006",74,29,18%,4563,2368,25394,4876,241,543,1861
Alma Mader Brewing,micro,2635 Southwest Blvd,Kansas City,Missouri,64108,-94.599389,39.082495,Missouri,64108,281,,"9,839",958,370,25%,4289,2465,38706,3090,101,110,2191
Almanac Beer Company,micro,651B W Tower Ave,Alameda,California,94501-5047,-122.3062832,37.78344977,California,94501,282,,"64,116","3,079",1189,23%,29088,14455,53969,13653,335,998,6250
Almost Famous Brewing Company,micro,17 Kripes Rd,East Granby,Connecticut,6026,-72.4224674,41.9581654,Connecticut,6026,283,,"5,177",112,43,19%,1944,971,53205,1604,120,182,522
Old Ox Brewery LLC,micro,44652 Guilford Dr Ste 114,Ashburn,Virginia,20147-6006,-77.45608031,39.02226368,Virginia,20147,5182,INCOMPLETE,,"1,283",495,,,,,,,,
Alosta Brewing Co,micro,692 Arrow Grand Cir,Covina,California,91722-2122,-117.8781466,34.10365026,California,91722,285,,"36,111","3,343",1291,23%,15555,8282,32680,4918,417,650,1283
Alpenglow Beer Co,contract,,Lafayette,California,94549-4621,-122.1180201,37.8857582,California,94549,286,,"28,637",555,214,21%,10849,6081,82010,8424,315,375,1962
Alpha Acid Brewing Co,micro,121 Industrial Way Ste 12,Belmont,California,94002-8208,-122.2655717,37.52125155,California,94002,287,,"28,513","1,936",747,22%,12388,6285,89016,6741,248,328,2358
Alpha Brewing Co.,micro,4310 Fyler Ave,Saint Louis,Missouri,63116,-90.26236838,38.59861817,Missouri,63116,288,,"41,959","3,114",1202,24%,20629,10065,33812,13373,297,1310,7174
Alpine Beer Company,brewpub,6550 Mira Mesa Blvd,San Diego,California,92121-4100,-117.113975,32.9167796,California,92121,290,,"4,658",130,50,27%,1985,1248,64167,1028,24,37,420
Alpine Brewing Co,micro,821 14th Ave,Oroville,Washington,98844,-119.4305306,48.9365877,Washington,98844,291,,"4,599",6,2,19%,1556,867,25555,1866,69,115,786
ALT Brew / Greenview Brewing LLC,brewpub,1808 Wright St,Madison,Wisconsin,53704-2522,-89.33026,43.12576305,Wisconsin,53704,293,,"47,066",843,326,25%,22333,11662,39701,17480,573,1241,9255
Alta Brewing Company,micro,1983 Julian Avenue,San Diego,California,92113-1125,-117.1414712,32.7018758,California,92113,294,,"50,457","4,405",1701,24%,22393,11909,22320,7705,654,2069,1289
Altamont Beer Works,micro,2402 Research Dr,Livermore,California,94550-3850,-121.7210974,37.67839114,California,94550,295,,"49,959",71,27,21%,20353,10562,68203,13430,416,903,3380
Dynasty Brewing Company,planning,,Ashburn,Virginia,20147,-77.48536371,39.04374868,Virginia,20147,2343,INCOMPLETE,,"1,283",495,,,,,,,,
Altitude Chophouse and Brewery,brewpub,320 S 2nd St,Laramie,Wyoming,82070-3612,-105.5953366,41.31038565,Wyoming,82070,298,,"20,308",7,3,18%,6830,3694,26468,7578,406,370,3735
Altstadt Brewery,micro,6120 E US Highway 290,Fredericksburg,Texas,78624-2176,-98.8467263,30.2468574,Texas,78624,301,,"23,080",12,5,15%,6669,3499,32206,8972,168,689,3080
Alvarado Street Brewery,micro,1315 Dayton St Ste E,Salinas,California,93901-4400,-121.6305329,36.64880356,California,93901,302,,"29,700","1,180",456,21%,12008,6282,34930,5409,328,633,2129
Alvarado Street Brewery & Grill,brewpub,426 Alvarado St,Monterey,California,93940-2711,-121.8946096,36.59857755,California,93940,303,,"30,454",355,137,24%,13376,7395,53068,11335,268,663,5398
Amador Brewing Company,micro,9659 Main St,Plymouth,California,95669-9570,-120.849271,38.4808723,California,95669,305,,"2,431",12,5,22%,803,534,36346,799,41,103,263
Amani Brewing,brewpub,654 Ropp Dr,Martinsburg,West Virginia,25403-1533,-77.949602,39.5332966,West Virginia,25403,307,,"15,316",131,51,19%,5400,2970,42112,4978,270,206,1939
Ambacht Brewing,micro,1060 NE 25th Ave Ste B,Hillsboro,Oregon,97124-4903,-122.9564737,45.53275124,Oregon,97124,308,,"53,487",464,179,28%,26810,14868,43992,14472,645,1252,5086
Amber Lantern Brewing Company,brewpub,44 N Main St,Warsaw,New York,14569-1326,-78.132363,42.7408423,New York,14569,309,,"6,302",32,12,18%,2268,1141,33033,2816,151,168,1142
Ambitious Ales,planning,,Long Beach,California,90807-2907,-118.1580493,33.78538945,California,90807,310,,"32,412","2,882",1113,21%,13567,6695,43269,6808,246,706,2707
Amelia Island Brewing Company,brewpub,318 Centre St,Fernandina Beach,Florida,32034-4241,-81.46236272,30.67106045,Florida,32034,311,,"38,167",230,89,18%,12366,6680,40675,15163,712,725,4891
American Brewers Inc,micro,3408 Miller Rd,Kalamazoo,Michigan,49001-4111,-85.5378194,42.26671998,Michigan,49001,313,,"21,730","1,044",403,21%,8585,4483,30097,6632,283,466,3136
American Harvest Brewpub At Schoolcraft College,brewpub,18600 Haggerty Rd,Livonia,Michigan,48152-3932,-83.42868497,42.419317,Michigan,48152,315,,"31,098",995,384,18%,10658,5464,39677,10663,282,733,3761
American Honor Beer Co,contract,700 N Pennsylvania Ave,Wilkes Barre,Pennsylvania,18705-2451,-75.859363,41.254896,Pennsylvania,18705,316,,"14,832","1,195",461,23%,6257,3465,30623,5441,221,694,2318
American Icon Brewery,brewpub,1133 19th Place,Vero Beach,Florida,32960,-80.3955067,27.63674361,Florida,32960,317,,"21,522",806,311,22%,8336,4741,27836,8017,265,758,4097
American Solera,micro,1702 E 6th St,Tulsa,Oklahoma,74104,-95.9667403,36.1518928,Oklahoma,74104,318,,"12,395","1,705",658,22%,5085,2683,29620,4123,198,363,2360
Grey Tower Brewing,planning,,Ashburn,Virginia,20147-5433,-77.48536371,39.04374868,Virginia,20147,3224,INCOMPLETE,,"1,283",495,,,,,,,,
Amherst Brewing Co / Hangar Pub and Grill,brewpub,10 University Dr,Amherst,Massachusetts,01002-2243,-72.5318418,42.3728635,Massachusetts,1002,321,,"27,558",198,76,14%,7441,3819,23750,8143,246,491,4306
Ammo Brewing,micro,235 N Market St,Petersburg,Virginia,23803-3207,-77.407177,37.230765,Virginia,23803,322,,"44,377",221,85,17%,15407,7475,26985,5973,242,727,2226
Amorys Tomb Brewing Co,micro,76 Main St,Maynard,Massachusetts,01754-2516,-71.45315644,42.43203845,Massachusetts,1754,323,,"10,730",795,307,21%,4544,2263,56651,3747,153,331,1281
Amplified Ale Works,brewpub,4150 Mission Blvd Ste 208,San Diego,California,92109-5054,-117.2511178,32.7719729,California,92109,324,,"44,671","2,300",888,35%,27932,15804,55604,18724,472,749,12810
Amplified Ale Works Miramar Studio,brewpub,9030 Kenamar Dr Ste 309,San Diego,California,92121-2432,-117.1570695,32.88687598,California,92121,325,,"4,658",130,50,27%,1985,1248,64167,1028,24,37,420
Anacapa Brewing Co,brewpub,472 E Main St,Ventura,California,93001-2627,-119.2935874,34.28073347,California,93001,326,,"33,859",126,49,20%,12927,6816,36388,10886,506,1567,4739
Anacortes Brewery/Rockfish Grill,brewpub,320 Commercial Ave,Anacortes,Washington,98221-1517,-122.6126089,48.51933431,Washington,98221,327,,"22,853",169,65,17%,7218,3904,41975,9263,235,694,3349
Anaheim Brewery,micro,336 S Anaheim Blvd,Anaheim,California,92805-3830,-117.9125249,33.8328226,California,92805,328,,"74,633","4,573",1766,24%,33377,17815,31565,10996,854,2172,3047
Ancestry Brewery,brewpub,20585 SW 115th Ave,Tualatin,Oregon,97062-6857,-122.7967838,45.3711546,Oregon,97062,330,,"29,146",784,303,22%,12464,6397,44736,8856,156,785,2923
Anchor Brewing Co,large,1705 Mariposa St,San Francisco,California,94107-2334,-122.4011065,37.7630772,California,94107,331,,"34,012","5,952",2298,31%,18432,10447,98245,8299,66,269,4947
House 6 Brewing,planning,,Ashburn,Virginia,20147,-77.48536371,39.04374868,Virginia,20147,3612,INCOMPLETE,,"1,283",495,,,,,,,,
Anderson Valley Brewing Co,regional,17700 CA-253,Boonville,California,95415,-123.3560542,39.00141731,California,95415,335,,"1,496",10,4,20%,489,301,25000,406,20,44,116
Andrews Brewing Co At Calaboose Cellars,micro,575 Aquone Rd,Andrews,North Carolina,28901-7004,-83.81487799,35.19958164,North Carolina,28901,337,,"5,212",28,11,17%,1651,888,24370,2111,79,186,851
Angel City Brewery,micro,216 S Alameda St,Los Angeles,California,90012-4201,-118.237715,34.04627065,California,90012,338,,"33,851","4,214",1627,49%,23969,16438,26225,3848,265,125,2919
"Angry Chair Brewing, LLC.",micro,6401 N Florida Ave,Tampa,Florida,33604-6007,-82.459381,28.005127,Florida,33604,340,,"39,071","2,003",773,22%,17367,8555,26438,8784,580,1102,3987
Angry Hank's Microbrewery,micro,20 N 30th St,Billings,Montana,59101-2140,-108.5076025,45.78022173,Montana,59101,343,,"41,522",27,10,20%,16320,8270,29173,14380,706,1839,6456
Angry Horse Brewing,micro,603 W Whittier Blvd,Montebello,California,90640-5235,-118.1003743,34.0084152,California,90640,344,,"62,678","2,920",1127,22%,26440,13952,28721,7779,803,1797,1874
Angry Inch Brewing,micro,20841 Holyoke Ave,Lakeville,Minnesota,55044-,-93.2432718,44.6476022,Minnesota,55044,345,,"60,446",350,135,20%,24022,12367,55147,18143,563,1353,3734
Angry James Brewing Co,micro,421 Adams Ave,Silverthorne,Colorado,80498,-106.0764637,39.63306895,Colorado,80498,346,,"8,405",11,4,30%,3870,2488,48157,3004,121,66,1173
"Angry Minnow, The",brewpub,10440 Florida Ave,Hayward,Wisconsin,54843-7112,-91.4887672,46.0104853,Wisconsin,54843,347,,"12,664",11,4,16%,3830,1993,31662,4673,99,267,1797
The Craft Of Brewing,micro,"21140 Ashburn Crossing Drive, Suite 170",Ashburn,Virginia,20147,-77.48536371,39.04374868,Virginia,20147,6971,INCOMPLETE,,"1,283",495,,,,,,,,
Anheuser-Busch InBev,large,1 Busch Pl,Saint Louis,Missouri,63118-1849,-90.2118998,38.5954536,Missouri,63118,350,,"25,194","3,020",1166,28%,13025,7091,30749,5639,232,486,3232
Anheuser-Busch Inc - Fort Collins,large,2351 Busch Dr,Fort Collins,Colorado,80524-9400,-105.0019686,40.61817811,Colorado,80524,351,,"39,030",117,45,20%,14224,7733,36595,13706,620,942,5484
Anheuser-Busch Inc - Los Angeles,large,15800 Roscoe Blvd,Van Nuys,California,91406-1350,-118.4721072,34.2213918,California,91406,352,,"53,252","2,607",1006,24%,24621,12941,32090,8797,556,1211,3615
Anheuser-Busch Inc â Baldwinsville,large,2885 Belgium Rd,Baldwinsville,New York,13027-2706,-76.31159343,43.16510925,New York,13027,353,,"34,507",204,79,20%,13242,6752,43264,13722,407,1490,4703
Akademia Brewing Company,brewpub,150 Crane Dr,Athens,Georgia,30606-0600,-83.47153754,33.94270289,Georgia,30606,232,INCOMPLETE,,597,230,,,,,,,,
Anheuser-Busch Inc â Fairfield,large,3101 Busch Dr,Fairfield,California,94534-9726,-122.0902992,38.2365838,California,94534,356,,"42,296",196,76,20%,15591,8295,54340,7358,291,504,1992
