name,brewery_type,address_1,city,state_province,postal_code,longitude,latitude,state,zip_code
Adobe Creek Brewing Company,micro,67 Galli Dr Ste E,Novato,California,94949-5718,-122.5358157,38.07349982,California,94949
Adroit Theory Brewing Company,micro,404 Browning Ct Unit C,Purcellville,Virginia,20132-6171,,,Virginia,20132
Adventure Brewing Co,micro,33 Perchwood Dr Ste 101,Fredericksburg,Virginia,22405-4552,,,Virginia,22405
Adventure South,brewpub,3300 Dill Smith Dr,Fredericksburg,Virginia,22408-7319,,,Virginia,22408
Aero Craft Brewing,planning,,Denver,Colorado,80212-2199,-104.984696,39.7391428,Colorado,80212
Aero Plains Brewing,micro,117 N Handley St,Wichita,Kansas,67203-6114,-97.35071131,37.68455054,Kansas,67203
Aeronaut Brewing Company,micro,14 Tyler St,Somerville,Massachusetts,02143-3224,-71.1062676,42.3819723,Massachusetts,02143
Aftershock Brewing Co,micro,28822 Old Town Front St Ste 107,Temecula,California,92590-2893,-117.1485306,33.49310382,California,92590
Afterthought Brewing Company,micro,844 N Ridge Ave,Lombard,Illinois,60148-1215,-88.02234574,41.90549742,Illinois,60148
Against the Grain Beer Garden,planning,,Louisville,Kentucky,40217,,,Kentucky,40217
Against the Grain Brewery,micro,401 E Main St,Louisville,Kentucky,40202-1110,-85.7440377,38.2554568,Kentucky,40202
Against the Grain Production Facility,micro,1800 Northwestern Pkwy,Louisville,Kentucky,40203,-85.7767241,38.2658758,Kentucky,40203
Agonic Brewing Company LLC,planning,,Rice Lake,Wisconsin,54868-8786,,,Wisconsin,54868
"Agrarian Ales, LLC",closed,31115 W Crossroads Ln,Eugene,Oregon,97408-9220,-123.1277712,44.18922784,Oregon,97408
Ahnapee Brewery,micro,N9153 Cherry Tree Rd Apt 4,Algoma,Wisconsin,54201-9501,,,Wisconsin,54201
Aigean Ales,micro,250 Commercial St Ste 2001,Manchester,New Hampshire,03101-1165,-71.46899187,42.9899594,New Hampshire,03101
Aiken Brewing Co,brewpub,140 Laurens St SW,Aiken,South Carolina,29801-3848,-81.7228141,33.5603084,South Carolina,29801
Airline Brewing Company,micro,22 Mill Ln,Amherst,Maine,04428,-68.3677435,44.8329462,Maine,04428
Airways Brewing Co,micro,8611 S 212th St,Kent,Washington,98031-1910,-122.2391026,47.4119802,Washington,98031
Airways Brewing Co. Bistro & Beer Garden,brewpub,320 W Harrison St,Kent,Washington,98032,-122.235649,47.382498,Washington,98032
Akademia Brewing Company,brewpub,150 Crane Dr,Athens,Georgia,30606-0600,-83.47153754,33.94270289,Georgia,30606
Akasha Brewing Company,micro,909 E Market St Ste 700,Louisville,Kentucky,40206-1688,,,Kentucky,40206
Akronym Brewing LLC,micro,58 E Market St,Akron,Ohio,44308,-81.51645882,41.08512193,Ohio,44308
Akwesasne Mohawk Casino Resort,planning,,Akwesasne,New York,13655-1800,,,New York,13655
