City_ID,NAME,state,place,population_total,population_male,population_female,population_median_age,population_median_age_male,population_median_age_female,population_total_2,population_18_to_24,population_25_to_34,population_35_to_44,population_45_to_54,population_55_to_64,income_household,income_household_median,income_family_median,income_nonfamily_median,earnings_median,employment_total,employment_male,employment_female,occupancy_status_total,occupancy_status_occupied,occupancy_status_vacant
1169,"Suitland CDP, Maryland",24,75725,26897,12126,14771,40.4,35.2,42.8,62994,10251,8558,7005,5227,6758,29701,63302,132852,100068,43772,26689,8576,10469,12531,12081,450
1170,"Towson CDP, Maryland",24,78425,62994,27303,35691,33.7,38.0,30.8,80123,6633,11760,10958,12143,11935,16468,93032,120545,36986,49765,23343,17566,21777,24901,23144,1757
1171,"Waldorf CDP, Maryland",24,81175,80123,37177,42946,39.0,38.5,39.6,53474,4407,7600,8338,8018,6836,13333,103784,101192,86225,50968,37498,26287,29376,30901,29701,1200
1172,"Wheaton CDP, Maryland",24,83775,53474,27383,26091,37.3,36.1,38.7,35719,1263,5015,5796,3306,4629,11679,96401,88165,38728,44278,35660,18836,17921,16775,16468,307
1173,"Woodlawn CDP (Baltimore County), Maryland",24,86475,35719,14970,20749,37.4,35.7,39.3,28494,1009,3171,5391,3142,4097,9540,74860,125292,47141,47881,36528,8927,12313,13793,13333,460
1174,"Agawam Town city, Massachusetts",25,00840,28494,14287,14207,41.6,41.4,42.0,39388,23899,2895,1735,1550,2178,18431,79769,121696,69656,55715,42969,9226,8250,12228,11679,549
1175,"Amherst Town city, Massachusetts",25,01370,39388,18160,21228,21.1,21.5,20.8,45615,2292,6530,6319,6979,4918,17733,62009,181985,43343,9187,21523,14955,17799,11118,9540,1578
1176,"Arlington CDP, Massachusetts",25,01640,45615,22210,23405,39.1,38.5,39.6,46579,3656,5231,7933,5959,5662,20998,136017,94503,31425,78125,36203,13441,14830,19217,18431,786
1177,"Attleboro city, Massachusetts",25,02690,46579,22780,23799,38.8,35.7,41.2,49591,3817,6777,5078,5941,7946,10576,86187,99086,66852,45123,564064,14100,15896,18758,17733,1025
1178,"Barnstable Town city, Massachusetts",25,03690,49591,22832,26759,48.5,50.5,46.6,26833,1195,3366,3535,4271,3214,16497,85196,192500,42205,40616,32225,13178,16740,26525,20998,5527
1179,"Belmont CDP, Massachusetts",25,05105,26833,13176,13657,41.6,41.1,41.9,42448,5630,5707,4254,4696,6895,271941,162258,125187,70446,92320,23622,8314,8401,10965,10576,389
1180,"Beverly city, Massachusetts",25,05595,42448,20496,21952,40.5,41.6,38.5,654281,98867,151591,85769,65244,68987,15250,95133,92973,34123,50698,81857,13126,15030,16786,16497,289
1181,"Boston city, Massachusetts",25,07000,654281,315141,339140,33.0,32.4,33.5,38821,3035,5511,6006,4652,5462,9026,79283,141594,47222,49039,52935,232473,248513,307025,271941,35084
1182,"Braintree Town city, Massachusetts",25,07740,38821,19515,19306,40.5,38.1,42.9,28811,4696,3246,4191,2423,3213,37554,119604,100080,53559,57826,20840,12945,12643,16045,15250,795
1183,"Bridgewater Town city, Massachusetts",25,08130,28811,14726,14085,36.1,36.5,35.6,105455,10318,13755,13102,12214,12374,26733,89444,77768,100442,34322,106121,9291,8861,9087,9026,61
1184,"Brockton city, Massachusetts",25,09000,105455,50254,55201,36.6,35.8,37.2,62728,7286,11852,8338,6453,6528,10695,68581,200989,27468,40334,30618,32382,32310,38391,37554,837
1185,"Brookline CDP, Massachusetts",25,09210,62728,29317,33411,35.2,35.0,35.5,25990,2314,3096,3433,4360,2612,52487,134717,113560,46868,69867,47293,20898,21762,29271,26733,2538
1186,"Burlington CDP, Massachusetts",25,09875,25990,11896,14094,43.0,41.8,43.4,117097,25079,33030,15925,7755,9327,14361,111225,140521,37126,68444,24194,7985,7830,11521,10695,826
1187,"Cambridge city, Massachusetts",25,11000,117097,57484,59613,30.6,30.6,30.6,38871,2395,7712,5792,5154,4725,22670,104746,62540,63902,57295,20890,47401,45344,57581,52487,5094
1188,"Chelsea city, Massachusetts",25,13205,38871,20150,18721,35.5,35.9,35.1,55198,6175,7018,4934,8260,8214,10203,61907,75743,81926,34028,40156,14811,11626,14709,14361,348
1189,"Chicopee city, Massachusetts",25,13660,55198,25341,29857,43.2,46.0,41.1,27899,1968,2947,3799,3708,4436,10334,59728,124176,82908,40260,75691,17352,19567,23730,22670,1060
1190,"Danvers CDP, Massachusetts",25,16285,27899,14120,13779,45.5,43.8,48.2,25251,1507,3603,3756,3092,2962,18239,115743,161484,64856,54630,36739,9553,8710,10597,10203,394
1191,"Dedham CDP, Massachusetts",25,16530,25251,11737,13514,42.1,41.5,42.4,48552,3984,7172,7482,6906,6674,40521,120758,73445,34889,72134,55532,7336,8053,10648,10334,314
1192,"Everett city, Massachusetts",25,21990,48552,24912,23640,40.1,37.9,44.8,93883,8004,13423,10631,12794,13582,18810,67146,58051,41419,37496,27883,16464,16372,19580,18239,1341
1193,"Fall River city, Massachusetts",25,23000,93883,43598,50285,39.1,38.9,39.4,41722,5317,5336,4650,5018,6503,26320,46672,81398,51333,36590,25078,28924,31825,43230,40521,2709
1194,"Fitchburg city, Massachusetts",25,23875,41722,20726,20996,44.5,44.2,45.3,71260,6108,9479,12647,9054,7506,11989,61322,110591,54742,41193,53302,14462,13169,20098,18810,1288
1195,"Framingham city, Massachusetts",25,24960,71260,37776,33484,36.6,34.3,38.4,33025,3786,2955,3499,6050,6123,12768,94023,160764,54312,50940,29024,25286,21608,27159,26320,839
1196,"Franklin Town city, Massachusetts",25,25172,33025,16273,16752,46.1,45.1,47.4,29949,2599,3893,3063,3378,4441,25293,134236,113554,46125,64905,67261,12006,11228,12673,11989,684
1197,"Gloucester city, Massachusetts",25,26150,29949,14815,15134,45.3,45.0,45.7,67356,5674,10600,7136,8648,10299,14005,85690,98227,40497,50543,35855,8623,9067,14120,12768,1352
1198,"Haverhill city, Massachusetts",25,29405,67356,31957,35399,37.0,36.4,37.3,37927,3194,5179,5175,3092,3705,30366,80388,55954,22105,42043,26098,20177,24062,26413,25293,1120
